du_id,day_equiv_max,declared_day_equiv,over_cap
4,215,33.57291666666667,FALSE
8,170.5,127.41666666666667,FALSE
10,204.5,194.25,FALSE
11,341,296.5677083333333,FALSE
12,341,263.5625,FALSE
15,278.5,86.0625,FALSE
18,204.5,170.3125,FALSE
21,341,51.614583333333336,FALSE
22,341,31.942708333333332,FALSE
24,341,221.57579521723423,FALSE
27,341,248.606037808642,FALSE
30,528.5,120.28125,FALSE
32,256,136.44791666666666,FALSE
35,254,186,FALSE
37,262,88.82708333333333,FALSE
45,268.5,0,FALSE
53,341,243.39583333333334,FALSE
54,320,242.86979166666666,FALSE
72,341,203.0625,FALSE
83,256,128.19375,FALSE
90,94.5,64.50416666666666,FALSE
97,375.5,0,FALSE
98,682,0,FALSE
110,256,95.14206713046661,FALSE
112,522.5,307.875,FALSE
113,307,258.425,FALSE
124,341,181.22492200080515,FALSE
125,235.5,0,FALSE
126,315.5,82.09375,FALSE
132,341,161.51041666666666,FALSE
134,388,0,FALSE
136,235.5,0,FALSE
137,235.5,0,FALSE
138,235.5,0,FALSE
139,235.5,0,FALSE
140,235.5,0,FALSE
141,235.5,0,FALSE
142,235.5,0,FALSE
143,235.5,0,FALSE
144,235.5,0,FALSE
145,614,19.921875,FALSE
147,341,74.00572916666667,FALSE
149,375,60.75,FALSE
152,525,0,FALSE
164,249.5,100.07916666666667,FALSE
166,341,42.4375,FALSE
167,273,0,FALSE
169,597,139.0188306942237,FALSE
179,596,226.90625,FALSE
182,682,102.328125,FALSE
183,347,21.059375,FALSE
184,352,273.625,FALSE
185,621,103.59375,FALSE
187,0,17.75,TRUE
189,273,0,FALSE
191,682,304,FALSE
193,381,200.30729166666669,FALSE
198,682,22.640625,FALSE
204,341,59.026041666666664,FALSE
206,341,318.28333333333336,FALSE
211,235.5,0,FALSE
213,341,212.24739583333334,FALSE
220,579.5,228.5,FALSE
224,574.5,56.057291666666664,FALSE
225,528,161.625,FALSE
226,235.5,0,FALSE
227,647,0,FALSE
228,682,160.71875,FALSE
230,682,137.4983552631579,FALSE
231,341,63.921875,FALSE
233,235.5,0,FALSE
278,256,132.27120535714286,FALSE
279,341,166.5,FALSE
280,341,271.9625,FALSE
284,682,205.23728993116796,FALSE
289,632.5,44.442864441416894,FALSE
293,341,48,FALSE
294,321,162.10989583333333,FALSE
295,362,174.625,FALSE
296,670.5,188.284375,FALSE
297,682,147.70833333333334,FALSE
298,682,232.19270833333334,FALSE
300,682,188.45833333333334,FALSE
301,341,139,FALSE
304,72.5,54.4375,FALSE
305,556.5,184.5,FALSE
306,515.5,212,FALSE
307,341,159.15625,FALSE
310,235.5,0,FALSE
311,341,290.71875,FALSE
314,574,69.515625,FALSE
315,170.5,57.375,FALSE
316,341,257.0625,FALSE
317,511.5,138.91666666666666,FALSE
318,341,241.91145833333334,FALSE
321,341,129.66666666666666,FALSE
322,682,232.14583333333334,FALSE
323,502.5,85.95625,FALSE
324,341,298.34375,FALSE
325,330.5,228.15364583333334,FALSE
326,390.5,150.41227678571428,FALSE
327,341,212,FALSE
330,235.5,0,FALSE
331,307,113.06041666666667,FALSE
332,341,183,FALSE
334,341,290.3125,FALSE
335,378,192.0875,FALSE
337,331.5,122.03645833333333,FALSE
338,306,155.625,FALSE
339,316.5,156.31723186119874,FALSE
340,242.5,218.125,FALSE
341,323,251.46875,FALSE
342,624.5,266.1666666666667,FALSE
343,278.5,225.4173180477964,FALSE
344,317.5,0,FALSE
345,269.5,135.58333333333334,FALSE
346,269.5,250.59375,FALSE
347,286,155,FALSE
348,229,201,FALSE
349,286,217.19906749239385,FALSE
350,101.5,0,FALSE
351,135.5,92.28125,FALSE
352,235.5,0,FALSE
353,235.5,0,FALSE
354,235.5,0,FALSE
355,235.5,0,FALSE
356,235.5,0,FALSE
357,235.5,0,FALSE
358,235.5,0,FALSE
359,175,47,FALSE
360,180,133,FALSE
361,144,43.145833333333336,FALSE
362,180,50.016666666666666,FALSE
363,167,36.200223214285714,FALSE
364,397.5,0,FALSE
365,235.5,0,FALSE
366,235.5,0,FALSE
368,348.5,90.375,FALSE
369,235.5,117,FALSE
370,235.5,0,FALSE
371,235.5,0,FALSE
372,235.5,0,FALSE
373,235.5,0,FALSE
376,91.5,0,FALSE
377,235.5,0,FALSE
378,327,40.75,FALSE
379,235.5,58,FALSE
380,54.5,0,FALSE
381,235.5,0,FALSE
382,254,0,FALSE
383,235.5,0,FALSE
385,235.5,0,FALSE
