du_id,day_equiv_max,declared_day_equiv,over_cap
4,215,33.57291666666667,FALSE
8,170.5,148.76388888888889,FALSE
10,204.5,194.25,FALSE
11,341,289.2239583333333,FALSE
12,341,302.375,FALSE
15,278.5,122.29213305972681,FALSE
18,204.5,161.625,FALSE
21,341,182.58085317460316,FALSE
22,341,31.942708333333332,FALSE
24,341,247.92489356185902,FALSE
27,341,290.30364583333335,FALSE
30,528.5,135.96875,FALSE
32,256,148.96875,FALSE
35,254,186,FALSE
37,262,112.60833333333333,FALSE
45,268.5,0,FALSE
53,341,287.9017857142857,FALSE
54,320,274.8072916666667,FALSE
72,341,203.0625,FALSE
83,256,136.33958333333334,FALSE
90,94.5,85.91041666666666,FALSE
97,375.5,13.23186707147567,FALSE
98,682,0,FALSE
110,256,102.9027455693816,FALSE
112,522.5,336.5208333333333,FALSE
113,307,289.675,FALSE
124,341,226.13061951754386,FALSE
125,235.5,0,FALSE
126,315.5,166.3125,FALSE
132,341,164.42708333333334,FALSE
134,388,0,FALSE
136,235.5,0,FALSE
137,235.5,0,FALSE
138,235.5,0,FALSE
139,235.5,0,FALSE
140,235.5,0,FALSE
141,235.5,0,FALSE
142,235.5,0,FALSE
143,235.5,0,FALSE
144,235.5,0,FALSE
145,614,19.921875,FALSE
147,341,92.1687317251462,FALSE
149,375,60.75,FALSE
152,525,0,FALSE
164,249.5,110.66041666666666,FALSE
166,341,163.5625,FALSE
167,273,0,FALSE
169,597,116.77902055313784,FALSE
179,596,353.34375,FALSE
182,682,102.328125,FALSE
183,347,21.059375,FALSE
184,352,315.5,FALSE
185,621,79.10925627741473,FALSE
187,0,17.75,TRUE
189,273,0,FALSE
191,682,360,FALSE
193,381,218.11197916666669,FALSE
198,682,102.390625,FALSE
204,341,59.026041666666664,FALSE
206,341,321.2916666666667,FALSE
211,235.5,0,FALSE
213,341,255.90364583333334,FALSE
220,579.5,230.59375,FALSE
224,574.5,56.057291666666664,FALSE
225,528,161.625,FALSE
226,235.5,0,FALSE
227,647,0,FALSE
228,682,279.75,FALSE
230,682,136.34643659861396,FALSE
231,341,153.984375,FALSE
233,235.5,0,FALSE
278,256,171.34846659127908,FALSE
279,341,166.5,FALSE
280,341,293.5,FALSE
284,682,273.43645833333335,FALSE
289,632.5,71.140625,FALSE
293,341,48,FALSE
294,321,162.10989583333333,FALSE
295,362,225.28125,FALSE
296,670.5,188.284375,FALSE
297,682,232.52604166666666,FALSE
298,682,281.7239583333333,FALSE
300,682,245.79166666666666,FALSE
301,341,139,FALSE
304,72.5,83.34375,TRUE
305,556.5,184.5,FALSE
306,515.5,331,FALSE
307,341,159.46875,FALSE
310,235.5,0,FALSE
311,341,333.0625,FALSE
314,574,94.765625,FALSE
315,170.5,57.375,FALSE
316,341,340.65208333333334,FALSE
317,511.5,138.91666666666666,FALSE
318,341,241.91145833333334,FALSE
321,341,129.66666666666666,FALSE
322,682,232.14583333333334,FALSE
323,502.5,85.95625,FALSE
324,341,317.95635190217394,FALSE
325,330.5,257.1536458333333,FALSE
326,390.5,168.13177083333332,FALSE
327,341,319.25,FALSE
330,235.5,0,FALSE
331,307,239.06041666666667,FALSE
332,341,290.5625,FALSE
334,341,290.3125,FALSE
335,378,232.15,FALSE
337,331.5,122.03645833333333,FALSE
338,306,271.00387396694214,FALSE
339,316.5,156.31723186119874,FALSE
340,242.5,238.875,FALSE
341,323,251.46875,FALSE
342,624.5,259.07060185185185,FALSE
343,278.5,266.55104166666666,FALSE
344,317.5,0,FALSE
345,269.5,265.4791666666667,FALSE
346,269.5,287.25,TRUE
347,286,155,FALSE
348,229,241,TRUE
349,286,280.71319957672216,FALSE
350,101.5,0,FALSE
351,135.5,147.5,TRUE
352,235.5,0,FALSE
353,235.5,0,FALSE
354,235.5,0,FALSE
355,235.5,0,FALSE
356,235.5,0,FALSE
357,235.5,0,FALSE
358,235.5,0,FALSE
359,175,47,FALSE
360,180,198,TRUE
361,144,43.145833333333336,FALSE
362,180,51.44583333333333,FALSE
363,167,36.200223214285714,FALSE
364,397.5,0,FALSE
365,235.5,0,FALSE
366,235.5,0,FALSE
368,348.5,124.8125,FALSE
369,235.5,145,FALSE
370,235.5,0,FALSE
371,235.5,0,FALSE
372,235.5,0,FALSE
373,235.5,0,FALSE
376,91.5,0,FALSE
377,235.5,0,FALSE
378,327,53.58333333333333,FALSE
379,235.5,58,FALSE
380,54.5,56.5625,TRUE
381,235.5,0,FALSE
382,254,0,FALSE
383,235.5,23.3125,FALSE
385,235.5,0,FALSE
